DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Jan-2026,EQ,"2,210.00","2,220.90","2,189.00","2,201.10","2,217.00","2,217.80","2,209.31","2,301.90","1,723.75","13,46,975","2,97,58,83,603.30","55,782"
31-Dec-2025,EQ,"2,158.00","2,205.40","2,155.70","2,152.70","2,203.00","2,201.10","2,189.70","2,301.90","1,723.75","28,56,889","6,25,57,33,417.80","1,50,283"
30-Dec-2025,EQ,"2,159.70","2,165.00","2,138.90","2,158.60","2,155.20","2,152.70","2,151.47","2,301.90","1,723.75","56,72,138","12,20,34,30,405.60","1,47,546"
29-Dec-2025,EQ,"2,170.60","2,181.80","2,155.40","2,164.20","2,157.10","2,158.60","2,162.41","2,301.90","1,723.75","9,71,796","2,10,14,21,611.80","72,497"
26-Dec-2025,EQ,"2,162.00","2,173.60","2,152.90","2,163.70","2,161.70","2,164.20","2,162.87","2,301.90","1,723.75","7,38,349","1,59,69,49,580.30","39,995"
24-Dec-2025,EQ,"2,168.00","2,178.20","2,161.10","2,162.70","2,162.00","2,163.70","2,169.64","2,301.90","1,723.75","15,58,358","3,38,10,76,689.30","61,347"
23-Dec-2025,EQ,"2,152.50","2,170.90","2,149.70","2,149.70","2,161.30","2,162.70","2,163.49","2,301.90","1,723.75","16,14,163","3,49,22,25,620.80","69,637"
22-Dec-2025,EQ,"2,170.00","2,176.00","2,147.10","2,159.50","2,147.10","2,149.70","2,156.84","2,301.90","1,723.75","18,08,226","3,90,00,57,005.80","77,096"
19-Dec-2025,EQ,"2,168.50","2,177.50","2,156.30","2,164.60","2,159.60","2,159.50","2,164.33","2,301.90","1,723.75","23,00,934","4,97,99,87,327.80","90,444"
18-Dec-2025,EQ,"2,173.20","2,178.90","2,159.90","2,173.20","2,167.00","2,164.60","2,167.11","2,301.90","1,723.75","11,26,680","2,44,16,43,567.10","65,831"
